State,LGA,Ward,PU-Code,,,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
ENUGU,ANINRI,ODUMA I,14-01-01-002,,,AMAEZE ENUGU AGU VILLAGE SQUARE,45,365,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,43,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38882/result_156530_1677492986_thumb.jpg
ENUGU,ANINRI,ODUMA I,14-01-01-003,,,OLOVOLO VILLAGE SQUARE,35,229,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,0,32,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38883/result_156531_1677493418_thumb.jpg
ENUGU,ANINRI,ODUMA II,14-01-02-002,,,"LIBERTY SCHOOL, OBEAGU ODUMA",80,703,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38893/result_156543_1677579872_thumb.jpg
ENUGU,ANINRI,ODUMA IV,14-01-04-004,,,NKWO MKT. SQUARE,98,595,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,2,92,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38916/result_156573_1677511597_thumb.jpg
ENUGU,ANINRI,NNENWE I,14-01-05-005,,,OBIOFU COMM. SCHOOL,240,1444,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,209,5,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38926/result_156584_1677571907_thumb.jpg
ENUGU,ANINRI,NNENWE I,14-01-05-006,,,OKPULO VILLAGE SQUARE,64,586,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38927/result_156585_1677572258_thumb.jpg
ENUGU,ANINRI,NDEABO,14-01-08-003,,,COMM. SCHOOL UMURAH I,201,1015,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,3,176,8,4,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38959/result_156627_1677503580_thumb.jpg
ENUGU,ANINRI,NDEABO,14-01-08-009,,,COMM. SCHOOL  ABACHEKU,147,540,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,105,23,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38965/result_156633_1677509280_thumb.jpg
ENUGU,ANINRI,MPU,14-01-10-001,,,COMM. PRI. SCHOOL MPU I,74,898,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,35,0,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38983/result_156661_1677526778_thumb.jpg
ENUGU,ANINRI,MPU,14-01-10-003,,,AMACHALLA PRIMARY SCHOOL,207,1295,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1072,9,42,589,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38985/result_156663_1677672557_thumb.jpg
ENUGU,ANINRI,MPU,14-01-10-012,,,EZZA MPU VILLAGE SQUARE,67,753,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38994/result_156672_1677530080_thumb.jpg
ENUGU,AWGU,AWGU I,14-02-01-001,,,TOWN SCHOOL AWGU I,107,760,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,98,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20509/pu/39008/39008-1677592520.pdf
ENUGU,AWGU,AWGU I,14-02-01-002,,,TOWN SCHOOL AWGU II,114,827,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1,104,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20509/pu/39009/39009-1677592729.pdf
ENUGU,AWGU,AWGU I,14-02-01-004,,,CENTRAL SCHOOL AWGU II,157,1105,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,3,144,2,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20509/pu/39011/39011-1677593127.pdf
ENUGU,AWGU,AWGU I,14-02-01-009,,,OBODO IBITE SQUARE,136,634,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,128,3,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20509/pu/39016/39016-1677600595.pdf
ENUGU,AWGU,AWGU I,14-02-01-014,,,OBUGO VILLAGE SQUARE,141,721,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,136,2,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20509/pu/39021/39021-1677601909.pdf
ENUGU,AWGU,MGBOWO,14-02-03-013,,,"COMM.  PRIMARY SCHOOL, INYI",160,882,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,3,153,3,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20511/pu/39049/39049-1677596393.pdf
ENUGU,AWGU,MGBOWO,14-02-03-015,,,COOPERATIVE HALL OGBETA,0,310,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20511/pu/39051/39051-1677653925.pdf
ENUGU,AWGU,MGBOWO,14-02-03-018,,,COOPERATIVE HALL OGBETA II,0,263,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20511/pu/39054/39054-1677654168.pdf
ENUGU,AWGU,OBEAGU,14-02-06-003,,,OPIGWE SQUARE,31,157,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/06/pu/003/003-1677364115.pdf
ENUGU,AWGU,OBEAGU,14-02-06-010,,,OBODO ANIUNO SQUARE,44,127,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/39089/result_156794_1677497852_thumb.jpg
ENUGU,AWGU,OWELLI/AMOLI/UGBO/OGUGU,14-02-09-002,,,OBODO AMANABO,102,404,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/09/pu/002/002-1677406717.pdf
ENUGU,AWGU,OWELLI/AMOLI/UGBO/OGUGU,14-02-09-005,,,UGWU AMAGBE,78,268,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,71,2,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20517/pu/39152/39152-1677597432.pdf
ENUGU,AWGU,OWELLI/AMOLI/UGBO/OGUGU,14-02-09-008,,,UPE SCHOOL II,69,354,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/09/pu/008/008-1677401431.pdf
ENUGU,AWGU,OWELLI/AMOLI/UGBO/OGUGU,14-02-09-011,,,NKWO OGUGU,66,339,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/09/pu/011/011-1677369678.pdf
ENUGU,AWGU,ISU AWA/OGUGU/AGBUDU/ITUKU,14-02-10-005,,,CENTRAL SCHOOL HALL ISU,152,477,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,0,30,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20518/pu/39186/39186-1677610258.pdf
ENUGU,AWGU,ISU AWA/OGUGU/AGBUDU/ITUKU,14-02-10-014,,,CENTRAL SCHOOL ITUKU,132,667,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3362/ward/20518/pu/39195/39195-1677611357.pdf
